mse,psnr,ssim,masked_mse,masked_psnr,masked_ssim,key,stage
3.0065466489759274e-06,55.21932053339965,0.9986688494682312,0.0007669660844840109,31.15223840284537,0.999545156955719,food_kiwi_01_8k_view00,final
0.00015220341447275132,38.17575604661102,0.9946436882019043,,,,food_kiwi_01_8k_view00,corrupted
0.011958983726799488,19.223057250797147,0.904390811920166,,,,food_kiwi_01_8k_view00,inpainted
6.505978944915114e-06,51.86687346544786,0.9982803463935852,0.0011652278481051326,29.335891445954626,0.9991641044616699,food_kiwi_01_8k_view01,final
0.0002989655768033117,35.243788138996706,0.9938252568244934,,,,food_kiwi_01_8k_view01,corrupted
0.012112077325582504,19.167813652245677,0.9033792614936829,,,,food_kiwi_01_8k_view01,inpainted
1.250319110113196e-05,49.02979130932433,0.995697021484375,0.0008744140504859388,30.58282872559399,0.9980332851409912,food_kiwi_01_8k_view02,final
0.0006331615149974823,31.984854904176593,0.9827578067779541,,,,food_kiwi_01_8k_view02,corrupted
0.011600148864090443,19.355364374594433,0.9016980528831482,,,,food_kiwi_01_8k_view02,inpainted
1.085272742784582e-05,49.64461104395178,0.9956202507019043,0.000724778336007148,31.397947964200448,0.9976912140846252,food_kiwi_01_8k_view03,final
0.000628062931355089,32.01996838156195,0.9822347164154053,,,,food_kiwi_01_8k_view03,corrupted
0.010589196346700191,19.751369988573334,0.908912181854248,,,,food_kiwi_01_8k_view03,inpainted
4.603879915521247e-06,53.36876012736995,0.9985451698303223,0.0007855136063881218,31.048462878638535,0.9995207786560059,food_kiwi_01_8k_view04,final
0.0002881051041185856,35.40449047617189,0.9920646548271179,,,,food_kiwi_01_8k_view04,corrupted
0.010920069180428982,19.61774610295806,0.9092943668365479,,,,food_kiwi_01_8k_view04,inpainted
1.1118598877146724e-06,59.5394993741785,0.9996184706687927,0.0008859384688548744,30.525964401499202,0.9999095797538757,food_kiwi_01_8k_view05,final
7.208369061117992e-05,41.421629860267956,0.9982312321662903,,,,food_kiwi_01_8k_view05,corrupted
0.011015300638973713,19.58003645216295,0.91144198179245,,,,food_kiwi_01_8k_view05,inpainted
