mse,psnr,ssim,masked_mse,masked_psnr,masked_ssim,key,stage
1.1164299394295085e-05,49.521685255023954,0.9959924817085266,0.0009831993374973536,30.073584227592555,0.9984054565429688,food_kiwi_01_8k_view00,final
0.00038652875809930265,34.12818188629974,0.9842267036437988,,,,food_kiwi_01_8k_view00,corrupted
0.011880878359079361,19.25151450566951,0.8972792029380798,,,,food_kiwi_01_8k_view00,inpainted
2.319734676348162e-06,56.34561685448495,0.999098539352417,0.0007724844617769122,31.121102474790675,0.9996557235717773,food_kiwi_01_8k_view01,final
0.00010611751349642873,39.74212934786879,0.9950912594795227,,,,food_kiwi_01_8k_view01,corrupted
0.012063420377671719,19.18529537922091,0.9025862812995911,,,,food_kiwi_01_8k_view01,inpainted
4.310847543820273e-06,53.654373360067865,0.9982416033744812,0.0006035793921910226,32.19265596614319,0.9990525245666504,food_kiwi_01_8k_view02,final
0.0002407145220786333,36.18497708360745,0.9914786219596863,,,,food_kiwi_01_8k_view02,corrupted
0.011562039144337177,19.369655646148686,0.9051855206489563,,,,food_kiwi_01_8k_view02,inpainted
2.4106973796733655e-05,46.17857304175324,0.9918847680091858,0.0007139488589018583,31.46332896196065,0.9939801096916199,food_kiwi_01_8k_view03,final
0.0011780679924413562,29.288296434284188,0.9611811637878418,,,,food_kiwi_01_8k_view03,corrupted
0.010428749956190586,19.817677452325192,0.9047929644584656,,,,food_kiwi_01_8k_view03,inpainted
2.548623160691932e-05,45.93694374546733,0.9921834468841553,0.0007531058508902788,31.23143978345421,0.9939476847648621,food_kiwi_01_8k_view04,final
0.0011986138997599483,29.21320690302104,0.9614894390106201,,,,food_kiwi_01_8k_view04,corrupted
0.01043542567640543,19.81489830724702,0.9028475880622864,,,,food_kiwi_01_8k_view04,inpainted
6.77734351484105e-06,51.68940501254022,0.997514009475708,0.0006811792263761163,31.66738604995679,0.9984362721443176,food_kiwi_01_8k_view05,final
0.0003522513434290886,34.531473418872295,0.9873836636543274,,,,food_kiwi_01_8k_view05,corrupted
0.010791908018290997,19.66901764903878,0.9059208035469055,,,,food_kiwi_01_8k_view05,inpainted
5.2450504881562665e-06,52.80250326989559,0.9972424507141113,0.00047720293514430523,33.21296893767297,0.9981700778007507,food_kiwi_01_8k_view06,final
0.00036045254091732204,34.43151908682567,0.9864425659179688,,,,food_kiwi_01_8k_view06,corrupted
0.010804646648466587,19.66389431569304,0.9100098609924316,,,,food_kiwi_01_8k_view06,inpainted
1.2677702216024045e-05,48.96959453499238,0.9947311282157898,0.0007943615200929344,30.999818017937205,0.9974071383476257,food_kiwi_01_8k_view07,final
0.0005196317215450108,32.8430434475943,0.9797462821006775,,,,food_kiwi_01_8k_view07,corrupted
0.011316941119730473,19.462709436725827,0.9027134776115417,,,,food_kiwi_01_8k_view07,inpainted
4.123471626371611e-06,53.847369894730186,0.9985052943229675,0.001134503516368568,29.451941536908137,0.9993947148323059,food_kiwi_01_8k_view08,final
0.0001179823957500048,39.28182789295509,0.9947664141654968,,,,food_kiwi_01_8k_view08,corrupted
0.007182490546256304,21.437249369630837,0.9398631453514099,,,,food_kiwi_01_8k_view08,inpainted
5.757391932093014e-07,62.39774205119901,0.9997707009315491,0.0006190160638652742,32.082980806123146,0.9999105334281921,food_kiwi_01_8k_view09,final
3.288518564659171e-05,44.82999702077105,0.9982261657714844,,,,food_kiwi_01_8k_view09,corrupted
0.007444226648658514,21.281804127090215,0.9399033188819885,,,,food_kiwi_01_8k_view09,inpainted
4.674238880397752e-07,63.302890964393924,0.9999777674674988,0.000660321325995028,31.802446763565527,0.9999035000801086,food_kiwi_01_8k_view10,final
